English,Marathi
You are wasting my time,तुम्ही माझा वेळ वाया घालवत आहात
You are wrong,तु चुकतो आहे
You can lean your head on my shoulder.,तु माझ्या खांद्यावर तुझे डोके ठेवू शकतेस
You chatter a lot,तु खुप बडबड करतो
You did very well,तु खुप चांगले केले
You don’t need to hurry,तुम्हाला घाई करण्याची आवश्यकता नाहीये
You haven’t change yet.,तुम्ही आतापर्यत नही बदलले
You need to remain calm,तुला शांत राहावे लागेल
You say something,तुम्ही काही बोला
You use your brain,आपल्या मेंदुचा वापर करत जा
You walk away from here,तु इथुन चालता हो
Your anger is justified,तुमचे रागावणे योग्य आहे
Your phone is ringing.,तुमचा फोन वाजतो आहे.
Don’t walk barefoot.,अनवाणी चालु नका.
Put the clothes to dry.,कपडे सुकविण्यासाठी ठेवा.
Peel off the potatoes,बटाटे सोलून घ्या
Peel off the Orange.,संत्र्याची साल काढून टाका.
Make the bed. / Prepare the bed.,अंथरुण नीट कर. / बेड तयार करा.
Open the lid/cap/cover.,झाकण/कॅप/कव्हर उघडा.
Turn on the tap.,टॅप चालू करा.
Turn off the tap.,टॅप बंद करा.
Spread the bed sheet.,बेडशीट पसरवा.
Do not lean against the wall.,भिंतीवर झुकू नका.
Use your brain.,आपली बुद्धी वापर.
Speak softly. / Speak quietly.,हळूवारपणे बोला. / शांतपणे बोला.
Serve the food.,जेवण सर्व्ह करा.
Walk on the tiptoe.,टिपटो वर चाला.
Do you know what I mean?,तुला माहितीये मी काय म्हणतोय?
Don’t worry,काळजी करू नका
I don’t agree.,मी सहमत नाही.
Did you get it?,तुम्हाला समजले का
Where are you from,तुम्ही कुठून आहात
Do as I say.,मी सांगतो तसे करा.
Have a good trip.,प्रवस सुखाचा होवो.
"A lovely day, isn’t it?","एक सुंदर दिवस, नाही का?"
What do you need?,तुम्हाला कशाची गरज आहे?
Please come as soon as possible.,कृपया लवकरात लवकर या.
I hope so.,मला अशी आशा आहे.
Do you understand me,तुम्ही मला समजता का
What’s your phone number,तुझा दूरध्वनी क्रमांक काय आहे
Call me any day.,मला कोणत्याही दिवशी कॉल करा
I admire you,मी तुमची प्रशंसा करतो
Can I help you,मी तुम्हाला मदत करू शकतो का
What do you want to do,तुम्हाला काय करायचं आहे
You are wasting my time.,तुम्ही माझा वेळ वाया घालवत आहात
Good morning!,शुभ प्रभात!
"Good day to you, Sir!","तुम्हाला शुभ दिवस, सर!"
He is still not well.,तो अजूनही बरा नाही.
well done! Keep it up!,चांगले केले! असच चालू राहू दे!
I will call you later.,मी तुला नंतर कॉल करेन.
I will catch you soon.,मी तुला लवकरच पकडेन.
Please give me your hand.,कृपया मला तुझा हात द्या.
Get out of my sight.,माझ्या नजरेतून निघून जा.
I did not understand.,मला समजले नाही.
What do you mean?,तुम्हाला काय म्हणायचे आहे?
What are you talking about?,काय बोलताय?
Could you stay away from my stuff?,तुम्ही माझ्या गोष्टींपासून दूर राहू शकता का?
I am sorry.,मला माफ करा.
I am feeling tired today,मला आज थकवा जाणवत आहे
It’s none of your business.,तो तुमचा कोणताही व्यवसाय नाही.
I don’t know.,मला माहीत नाही.
We both like each other.,आम्ही दोघे एकमेकांना पसंत करतो.
Come quickly.,लवकर ये.
Talk to you later.,तुझ्याशी नंतर बोलू.
Thank You very much.,खूप खूप धन्यवाद.
What is your problem?,तुझी समस्या काय आहे?
Can I ask you something?,मी तुला काही विचारू का?
It was nice meeting you.,तो आपण भेट छान होते.
How are you?,तू कसा आहेस?
What is going on?,काय चाललंय?
What are your likes and dislikes?,तुमच्या आवडी-निवडी काय आहेत?
Sorry for the inconvenience.,गैरसोयीबद्दल क्षमस्व.
What can I do for you?,मी तुमच्यासाठी काय करू शकतो?
Will you please help me with this?,कृपया यात मला मदत कराल का?
This is not a joke.,हा विनोद नाही.
Stop kidding.,थट्टा करणे थांबवा.
What is happening here?,इथे काय चाललंय?
Everything is fine.,सर्व काही ठीक आहे.
Did you get my point?,तुला माझा मुद्दा समजला का?
What do you want from me?,तुला माझ्याकडून काय हवे आहे?
How old are you?,तुमचे वय किती आहे?
Where is your office?,तुमचे ऑफिस कुठे आहे?
Get ready to go to school.,शाळेत जाण्यासाठी तयार व्हा.
I will try my level best.,मी माझ्या पातळीवर सर्वोत्तम प्रयत्न करेन.
Are you joining us?,तुम्ही आमच्यात सामील होत आहात का?
Making promises,आश्वासने देणे
Admitting mistakes,चुका मान्य करणे
Expressing preferences,प्राधान्ये व्यक्त करणे
Expressing Cause and Effect,कारण आणि परिणाम व्यक्त करणे
Talking about feelings,भावनांबद्दल बोलणे
Making and Answering Phone Call,फोन कॉल करणे आणि उत्तर देणे
Making friends,मित्र बनवणे
Asking and giving directions,विचारणे आणि दिशा देणे
Talking about jobs and occupations,नोकरी आणि व्यवसायाबद्दल बोलणे
Agreeing and Disagreeing,सहमत आणि असहमत
Checking for Understanding-Asking for Clarification,समजून घेणे तपासणे-स्पष्टीकरणासाठी विचारणे
Expressing Regret,खेद व्यक्त करणे
Congratulations and Best Wishes,अभिनंदन आणि शुभेच्छा
Expressing Obligation,बंधन व्यक्त करणे
Expressing Indifference,उदासीनता व्यक्त करणे
Interrupting people,लोकांना व्यत्यय आणणे
Talking about health and Illness,आरोग्य आणि आजारपणाबद्दल बोलणे
Ability,क्षमता
Giving good news,चांगली बातमी देणे
Giving bad news,वाईट बातमी देणे
Expressing Disappointment,निराशा व्यक्त करणे
Asking and Giving Instructions,विचारणे आणि सूचना देणे
Expressing Prohibition,निषेध व्यक्त करणे
Expressing Shock,शॉक व्यक्त करणे
Blaming and Accusing,दोष देणे आणि आरोप करणे
Hurry up,लवकर कर
Quickly get ready,पटकन तयार व्हा
Don’t touch that,त्याला स्पर्श करू नका
It was morning,सकाळची वेळ होती.
What should I do with it?,मी याचे काय करू?
It is easy to say but it's difficult to do,म्हणण्यासाठी ते सोपे आहे पण करण्यास कठीण आहे
Go see for yourself.,जा स्वतः जाऊन बघ.
Don't be scared.,भिऊ नकोस.
Why didn't you call me up?,तू मला फोन का केला नाहीस.
It is doubtful whether he will come or not.,तो येणार की नाही याबाबत शंकाच आहे.
Get a cup of tea.,एक कप चहा दे.
Anyone can be a mistaken.,कोणाकडून पण चूक होऊ शकते.
Once in a while,एखाद्यावेळेस.
Don't become lazy.,आळशी बनू नको.
Put on your pant,तुझा पॅंट घालून घे
What will you gain out of this?,तुला यातून काय मिळणार आहे?
He must also very worried.,ते पण खुप परेशानी मध्ये असेल.
Come to the point and tell me what to do.,मुद्द्यावर ये आणि सांग  मला काय करायचं ते.
Is That so?,असं आहे का
Why are you  so serious.,तू एवढी गंभीर का आहेस.
Don't threaten me,मला धमकी देऊ नकोस.
Why are you looking so sad.,तू आज इतका दुखी का दिसत आहे.
Was it holiday yesterday?,काल सुट्टी होती का
It's not a big deal for me,ही माझ्यासाठी काही मोठी गोष्ट नाही.
How can you do this ?,तू असा कसे काय करू शकत.
You kept me waiting for long time.,तू मला खूप वेळ पर्यंत वाट पाहत ठेवली.
He Has folled me,त्याने मला मूर्ख बनवले आहे.
Why did you get so angry.,तुला इतका राग का आला
It doesn't matter whether it is day or night.,रात्र असो का दिवस काही फरक पडत नाही.
Don't lie to me.,माझ्यासोबत खोटे बोलू नको.
Tell me more,अजून सांगा.
Are you mad,पागल आहेस का.
This is not the way to talk.,ही बोलण्याची योग्य पद्धत नाही.
Are you Deaf?,बहिरा आहेस का ?
come with me.,माझ्याबरोबर चला.
He is running after me.,तो माझ्या मागे मागे फिरत आहे
Who taught you to cook?,तुला स्वयंपाक कोणी शिकवला?
Anything could happen,काही पण होऊ शकते.
Who gave you permission to do all this,तुला हे सर्व करण्याकरिता कोणी परवानगी दिली.
You know what happened yesterday?,तुला माहिती आहे काल काय झालं.
Eat it as if it is were medicine.,औषध समजून खाऊन घे.
Because of her he got a smile on his face.,तिच्यामुळे त्याच्या चेहऱ्यावर हास्य आले.
"Go upstairs, and see what your dog is doing ?","वर जा, आणि पहा तुझा कुत्रा काय करत आहे?"
Don't dare to lie.,खोटे बोलण्याची हिंमत / धाडस करू नको.
Don't feel bad about his words.,त्याच्या बोलण्याचे वाईट वाटून घेऊ नको.
You wait here until he comes back,तू येते थांब जोपर्यंत तो वापस येत नाही.
She might be back any moment now.,ती आता कोणत्याही क्षणी परत येऊ शकते.
"If possible, forget me","होऊ शकेल, तर मला विसरून जा."
Don't take out your anger on me.,तुझा राग माझ्यावर नको काढू.
What brings you here ?,तुमची कशी काय येणे झाले.
I have been here since my childhood.,मी माझ्या लहानपणापासून इथे आहे.
I will return it to you on Sunday.,मी तुला हे रविवारी वापस करून देईल.
What would happen then?.,तेव्हा / मग काय होईल.?
She will do whatever I tell her.,मी तिला जे सांगेन ते ती करेल.
None of your business.,हे तुझ्या कामाचे नाही.
Are you free?,तू रिकामा आहे का./तुझ्याकडे वेळ आहे का?
I will come after few days.,मी काही दिवसांनंतर वापस येईल.
Not even a single penny is left.,एक पैसाही उरला नाही.
Don't talk me again,माझ्याशी पुन्हा बोलू नकोस.
Keep it Up to yourself.,ही गोष्ट तुमच्या पर्यंतच मर्यादित राहू दे.
I got a pain in my leg.,माझे पाय दुखू लागले आहे./माझे पाय दुखत आहे.
I am turn 25 years old.,आज मी पंचवीस वर्षाचा झालो आहे.
Have you  ever played football.?,तू कधी फुटबॉल खेळला आहेस का?
Even I don't know that.,हे तर मला पण माहित नव्हतं.
Did You call me?,तुम्ही मला बोलवले काय?
I am sure that he will get success.,मला खात्री आहे की त्याला यश मिळेल.
Why don't you come in,तू आत मध्ये का येत नाहीस
Why are you angry with her,तु तिच्यावर का रागावलेला आहेस.
Don't panic,घाबरू नको.
It's done.,पूर्ण झाले.
Control yourself.,स्वतःवर नियंत्रण ठेवा.
it will be so.,असेच होईल की
Any Concern to you.,तुझ्याशी काही संबंध.
I will handle her,मी तिला सांभाळून घेईल.
You will have to pay for it.,यासाठी तुम्हाला पैसे मोजावे लागतील.
What next.,पुढे काय.
Nothing can be done now.,आता काहीच होऊ शकत नाही.
Leave alone this matter.,सोडून द्या याला.
Keep in touch.,भेटत राहा.
You messed up,तू गडबड केलीस.
Never mind.,काही हरकत नाही.
You are not a kid anymore.,तू आता काही लहान राहिला नाही.
It's on me.,ते माझ्यावर आहे.
Have something.,काहीतरी घे
It scrap,हे बकवास आहे.
This is Bullshit.,हे फालतू आहे.
Fill Free.,संकोच करू नको.
Fix that right now.,ते आत्ता च व्यवस्थित/ ठीक कर.
What brings  you here.,इथे कोणत्या कामासाठी आला / इथे कशासाठी आला होता.
Long time no see.,खूप दिवस झाले बघितलं नाही.
Where were you so long.,कुठे होता आत्तापर्यंत.
It's unreal.,हे खोटे आहे.
There is a no time to think.,विचार करण्यासाठी वेळ नाही आहे.
Why are you so angry.,तू इतक्या रागात का आहे.
There is nothing to say.,बोलण्यासाठी काहीच नाही./ सांगण्यासारखे काहीच नाही.
Our neighbours are fighting again.,आमचे शेजारी पुन्हा भांडत आहेत.
I think the fortune is smiling on me.,असं वाटत आहे भाग्य माझ्यावर मेहेरबान आहे .
I find him boring.,मला तो बोरिंग वाटतो.
How long will you take.,तुला किती वेळ लागेल.
His videos are interesting.,त्याचे व्हिडिओ मनोरंजक आहेत.
I find his behaviour strange.,मला त्याचे वागणे विचित्र वाटते.
Don't say like this.,असे बोलू नको.
I believe in God.,माझा देवावर विश्वास आहे.
I have turn २४ today.,मी आज 24 वर्षाचा झालो आहे.
I can't allowed to do this.,मी तुला हे नाही करू देणार.
The shop is not open today.,दुकान आज उघडले नाही आहे.
Let's go by auto.,अॉटो नी जाऊया.
He has put on weight.,त्याचे वजन वाढले आहे.
Everything will get better.,सगळ काही ठीक होईल.
What are you trying to say.,तू काय म्हणण्याचा प्रयत्न करतोय.
He Always reneges from his own word.,तो नेहमी स्वतःच्या शब्दावर ठाम राहत नाही.
I am going into my library.,मी माझ्या अभ्यासिके मध्ये हे जात आहे.
This time please Go from here.,या सणाला कृपया इथून चालले जा.
Why are you always after me.,तू नेहमी माझ्या मागे का असतोस.
You are insisting unnecessarily.,तू विनाकारण आग्रह/ जिद्द करत आहे.
Why are you mumping so much.,तू एवढा किच कीच का करत आहेस.
You go And talk to her.,तुझा आणि तिच्याशी बोल/तू जाऊन तिच्याशी बोल.
After all who am I to you?,शेवटी मी कोण आहे तुझी
You don't value me at all.,तुला माझी काहीच किंमत नाही/तुला माझी अजिबात किंमत नाही.
I am not responsible for everyone.,मी सगळ्यांचा ठेका उचलला नाही आहे./प्रत्येकासाठी मी जबाबदार नाही
Why is Your mood so bad.,तुझा मूड इतका खराब का आहे.
I was inwardly smiling.,तो आतून चिडला होता
He was inwardly smiling.,मी आतून/ मनातून हसत होतो.
She was inwardly talking.,तो मना मध्येच हसत होता/ तो आतून हसत होता.
He is spoiling you.,तो तुला बिघडवत आहे.
You are spoiling me.,मला आतून राग येत होता.
Don't elongate the matter.,तो बिघडत चालला आहे.
Who Is that over there.,तिकडे कोण आहे.
Mind your own business.,आपल्या कामाशी काम ठेव.
"Life is too short, my friend.",जिंदगी खूप छोटी आहे. मित्रा.
What ever you said is wrong.,तुम्ही जे काही बोलले ते चुकीचे आहे.
You haven't  done anything wrong,तुम्ही काहीही चुकीचे केलेले नाही.
One thing is for sure.,एक गोष्ट तर पक्की आहे.
What the hell is this.,हे काय गोष्ट आहे. /काय आहे हे
I don't have much time.,माझ्यापाशी जास्त वेळ नाही.
That's Exactly what I thought.,मी पण हाच विचार केला होता.
What are these people doing.,हे लोक काय करत आहेत.
If We get cut off I will call you back.,जर बोलता-बोलता कॉल कट झाला तर मी तुला पुन्हा फोन करेल.
Sorry we were cut off.,माफ करा कॉल कट झाला होता.
He Hung up the phone.,त्याने फोन ठेवून दिला.
My battery is dead.,माझी बॅटरी संपली आहे.
Sorry I cut off the phone by accidentally.,"माफ करा,माझ्या कडून चुकीने/ गलतीने फोन कट झाला होता."
Your voice is breaking up.,तुमचा आवाज कटत आहे.
Could You speak up please.,"कृपया, आपण थोडे मोठ्याने बोलाल कात."
Okay I am gonna hang up now,"ठीक आहे, आता मी फोन ठेवत आहे."
Why are you crying.,तु का रडत आहेस.
Why he said so.,तो असे का म्हणाला.
Why did he left.,तो का निघून गेला.
Why I have to apologize,मला माफी का मागावी लागेल.
Why did you laugh.,तू का हसला
Why did he run away.,तो का पळून गेला.
I believe in myself,मला माझ्यावर विश्वास आहे.
Sit Cross legged.,मांडी घालून बस.
What are you looking for.,तू काय शोधत आहे.
I have no objection.,मला काही प्रॉब्लेम नाही.
It's Gods will.,ही देवाची इच्छा आहे.
It doesn't seem to be a burden.,मला बोझ वाटतं नाही.
I am feeling sleepy.,मला झोप येत आहे.
Who are you steering at.,कोणाला घुरत आहे .
Iam No good at  dancing.,मला बिलकुल डान्स करता येत नाही.
She will be happy to see you .,ती तुला भेटून खुश होऊन जाईल.
I thought you might have forgotten.,मला वाटलं की तुम्ही विसरला असाल.
I have got something to  show you.,मला काहीतरी तुला दाखवायचं आहे. /माझ्याकडे तुम्हाला दाखवण्यासाठी काहीतरी आहे.
He Is my whole brother.,तो माझा सख्खा भाऊ आहे.
We have been married for 2 years.,आमच्या लग्नाला दोन वर्ष झाले आहे.
He Is not a friend of mine.,तू माझं काही मित्र नाही आहे.
You had come after long.,तू खूप दिवसांनी आला होतास.
Take rest here tonight,आज रात्री इथे विश्रांती घ्या./ आज रात्री इथेच आराम करा.
My bike got punctured.,माझी गाडी पंचर झाली.
I was stuck in traffic.,मी ट्राफिक मध्ये अडकलो होतो.
If not Now then when.,आत्ता नाहीतर कधी.
She is  moaning in pain.,ती वेदनेने ओरडत आहे.
I am feeling fatigue.,मलाच थकल्यासारखे वाटत आहे.
I don't get out of house much.,मी घराच्या बाहेर जास्त निघत नाही./मी घरातून फारसा बाहेर पडत नाही.
Utilize your time.,आपल्या वेळेचा उपयोग करा.
It's strange coincidence.,हा एक वेगळाच योगायोग आहे.
How can he call me stupid.,तो मला मूर्ख कसा म्हणू शकतो.
I do not trust you at all.,मला तुझ्यावर बिलकुल विश्वास नाही.
When will bus leave.,बस कधी सुटेल.
Now there is only one  way left for me.,आता माझ्याकडे फक्त एकच रस्ता उरलेला आहे.
Let it be.,जाऊ दे.
You won't be able to do it.,तू नाही करू शकणार.
You should have have thought about it earlier.,याचा विचार तुम्ही आधी करायला हवा होता.
Give me Rs 2000 now it's urgent.,"मला आता 2000 रुपये द्या, खूप गरज आहे."
