English,Japanese
Cheer up,元気を出せよ。
Cheer up,元気出せよ。
Cheer up,元気出しなよ。
Cheer up,元気出して。
Cheer up,元気を出せよ。
Cheer up,元気出せよ。
Cheer up,元気出しなよ。
Cool off,頭を冷やせ。
Don go,行くんじゃない。
Don go,行かないで。
Find Tom,トムを探してきて。
Find Tom,トムを見つけて。
Fix this,これ直して。
For real,マジか。
Get away,向こうへ行け！
Get down,床に伏せろ！
Get lost,どっか行け。
Get lost,出て行け！
Get lost,どっか行け。
Get real,冷静に考えて見ろよ！
Go ahead,どうぞ、お先に！
Go ahead,どうぞお話し下さい。
Go ahead,どうぞ、お先に！
Good job,お見事！
Good job,お疲れ様でした。
Good job,お疲れさまでした。
Good job,よくやった！
Grab Tom,トムを捕まえろ。
Have fun,楽しんでね。
Have fun,楽しんできなさい。
He tries,彼がやってみるんだ。
Help Tom,トムを助けてやって。
Hi guys,やあ、みんな！
How cute,なんて可愛いんでしょう。
How cute,かわいい！
How deep,どのくらい深い？
How rude,失敬な！
Hurry up,急ぎなさい。
Hurry up,さあ、急いで。
Hurry up,急げ！
I am Tom,トムと申します。
I am Tom,トムといいます。
I did it,やった。
I did it,やってやった。
I failed,失敗した。
I failed,しくじった。
I forgot,忘れました。
I forgot,忘れた。
I got it,了解。
I got up,僕は起きあがった。
I had it,持ってたよ。
I resign,辞めます。
I resign,辞職します。
I use it,それを使います。
I use it,私が使ってます。
I yawned,あくびをした。
I yawned,あくびが出ちゃった。
I pay,僕のおごりですよ。
I pay,僕が払っとこう。
I pay,私のおごりだ。
I pay,私が払います。
I pay,私が払いましょう。
I busy,僕は忙しい。
I busy,私は忙しい。
I busy,忙しいです。
I cool,俺はクールだ。
I cool,俺はいかしてる。
I done,ごちそうさま。
I fair,私は公平だ。
I fine,平気だよ。
I fine,私は大丈夫です。
I fine,私は元気です。
I free,私は暇だ。
I free,暇ですよ。
I free,私は自由の身だ。
I free,手は空いていますよ。
I free,時間はあります。
I full,もう満腹です。
I full,お腹がいっぱいです。
I full,お腹いっぱいだ。
I full,ごちそうさま。
I good,私は大丈夫です。
I good,大丈夫です。
I good,私は大丈夫。
I here,ここにいるよ。
I here,俺がいるさ。
I here,僕はここにいる。
I here,ここにいるわよ。
I here,ここだよ。
I okay,大丈夫ですよ。
I poor,私は貧乏です。
I rich,リッチです。
I sick,病気です。
I tall,私は背が高い。
I well,大丈夫ですよ。
I well,私は大丈夫です。
I well,私は元気です。
It hurts,痛い。
It Tom,トムだ。
It new,それは新しいです。
It odd,妙だな。
It sad,悲しい。
It tea,お茶です。
Keep out,立ち入りを禁ず。
Leave it,放っておけ。
Leave it,放っておきなさいよ。
Leave it,やめておけ。
Let go,行くよ。
Let go,まあ行ってみよう。
Let go,さあ、行くぞ。
Let go,さあ、行くぞ。
Look out,危ない！
Marry me,私と結婚して。
Now stop,もう止めて！
Say when,ストップって言ってね。
Sit here,ここに座って。
Speak up,はっきり言いなさい。
Stand up,立ちなさい。
Stand up,起立！
Stand up,立ちなさい。
Stand up,起立！
Stop Tom,トムを止めるんだ。
Tell Tom,トムに教えて。
Tell Tom,トムに伝えて。
Terrific,すごいぞ！
Terrific,素晴らしい！
Terrific,すっげー！
They won,彼らは勝った。
Tom came,トムが来た。
Tom died,トムは死んだ。
Tom died,トムは死んだ。
Tom fell,トムは落ちた。
Tom fled,トムは逃げた。
Tom knew,トムは知った。
Tom left,トムはさった。
Tom lied,トムは嘘をついた。
Tom lies,トムは嘘をつく。
Tom lost,トムが負けた。
Tom paid,トムは払った。
Tom quit,トムはやめた。
Tom swam,トムは泳いだ。
Tom wept,トムは涙を流した。
Tom wept,トムは泣きました。
Tom wept,トムは泣いた。
Too late,遅すぎる。
Trust me,任せて！
Trust me,信じてくれよ。
Trust me,信用してください。
Try hard,精一杯やってみなさい。
Use this,これ使って。
Use this,これを使いな！
Warn Tom,トムに警告する。
Warn Tom,トムに警告してください。
Warn Tom,トムに警告しなさい。
We agree,意見が一致している。
What for,何のために？
What for,何に使うの？
Who came,誰が来た？
Who came,誰が来ましたか？
Who died,誰が死んだの？
Who he,彼は誰？
After you,お先にどうぞ。
Am I next,次は、私？
Answer me,私の質問に答えなさい。
Apologize,謝りなさい。
Birds fly,鳥は飛ぶ。
Call home,家に電話して！
Calm down,落ち着いて。
Calm down,落ちついて。
Calm down,落ち着けよ！
Calm down,落ち着け！
Calm down,落ち着いて！
Calm down,落ち着けよ。
Calm down,落ち着いて。
Calm down,落ちつけよ。
Calm down,落ちつきな。
Calm down,落ちついて。
Calm down,頭を冷やせよ。
Calm down,頭を冷やせ。
Calm down,落ち着け！
Calm down,落ち着いて！
Catch him,彼を捕まえて。
Catch him,彼を捕まえろ。
Chill out,落ち着いて。
Come back,戻っておいで。
Come here,ちょっと来て。
Come here,こちらに来なさい。
Come here,こっちへ来なさい！
Come here,ここへ来なさい！
Come here,こっちに来て。
Come here,こっちに来いよ。
Come here,こっちへおいで。
Come here,こっちおいで。
Come home,家に来て。
Come home,家に来いよ。
Come home,帰ってきなさい。
Come home,帰ってこい。
Come home,家に戻ってきなさい。
Come soon,すぐ来て。
Cool down,落ち着いて。
Cool down,頭を冷やせ。
Did I win,勝った？
Do it now,今すぐそれをやりなさい。
Don ask,聞かないでくれ。
Don cry,泣かないで。
Don die,死なないで。
Don lie,嘘をつくな。
Excuse me,失礼しました。
Excuse me,あのー、失礼ですが。
Excuse me,すみません。
Excuse me,すいません。
Excuse me,では失礼します。
Excuse me,ちょっとすみません。
Excuse me,もう一度お願いします。
Fantastic,すごいぞ！
Fantastic,お見事！
Fantastic,素晴らしい！
Fantastic,すっげー！
Follow me,私についてきて。
Follow me,ついてきて。
Follow us,俺たちについてこい。
Forget it,忘れろ！
Forget it,忘れちまえ！
Forget it,忘れて。
Get going,さあ行った、行った。
Go for it,頑張れ！
Go to bed,もう寝なさい。
Good luck,元気でね。
Good luck,頑張れよ。
Good luck,頑張れ！
Good luck,頑張ってね。
Good luck,頑張れ。
Good luck,頑張って。
Goodnight,おやすみなさい。
Hands off,触るな！
He is old,彼は年を取っている。
He a DJ,彼はＤＪです。
He lazy,彼は尻が重い。
Here 5,５ドルをやる。
Hold this,これ持って。
How awful,ああ恐い！
How is it,景気はどうですか？
Humor Tom,トムの機嫌をとれ。
I am full,もう満腹です。
I am full,お腹がいっぱいです。
I am full,お腹いっぱいだ。
I am here,ここにいるよ。
I am here,俺がいるさ。
I am here,僕はここにいる。
I am here,ここにいるわよ。
I am okay,大丈夫ですよ。
I am sure,確かだよ。
I am sure,そのことを確信している。
I am tall,私は背が高い。
I approve,賛成です。
I approve,賛成。
I can fly,僕、飛べるんだ。
I can run,私は走ることができる。
I can run,走れるよ。
I can ski,スキーができます。
I clapped,私は拍手した。
I fainted,私は気を失いました。
I fear so,残念ながらどうもそうらしい。
I give in,私の負けだ。
I give up,降参します。
I give up,お手上げだ。
I give up,参りました。
I got mad,私は怒ったんだ。
I got wet,濡れちゃった。
I had fun,楽しかった。
I have it,持ってるよ。
I have it,持っています。
I hit Tom,トムを叩いた。
I hope so,そうだといいけど。
I hope so,私もそう願います。
I laughed,私は笑ってしまった。
I laughed,笑っちゃった。
I like it,それ好き。
I like it,気に入ってます。
I mean it,本気だよ。
I mean it,本気で言ってるんです。
I met him,私は彼に会った。
I must go,行かなくちゃ。
I noticed,私は気づいた。
I promise,約束するよ。
I relaxed,僕はリラックスした。
I said no,ダメだって言ったでしょ。
I said no,違うってば。
I said so,私はそう言いました。
I said so,そう言っておいたはずだ。
I saw him,私は彼に会った。
I saw him,彼を見た。
I see Tom,トムが見える。
I want it,これが欲しい。
I was mad,私は怒り狂っていたんだ。
I will go,行くよ。
I will go,私が行きます。
I help,お手伝いしますよ。
I help,私は手伝うよ。
I help,手伝うよ。
I pass,私は通ります。
I pass,やめときます。
I a boy,僕、男だよ。
I a cop,私は警官だ。
I alone,一人だ。
I alone,私は一人だ。
I awake,目は覚めています。
I awake,起きてるよ。
I bored,退屈しちゃったよ。
I brave,私は勇敢だ。
I broke,文無しなんだ。
I broke,金欠なんだ。
I clean,私は潔白だ。
I clean,私は清潔だ。
I dizzy,くらくらする。
I dizzy,酔った。
I drunk,酔った。
I dying,もう死にそう。
I early,早かった。
I first,私が一番。
I fussy,私は几帳面なんだ。
I fussy,私は細かいんだ。
I happy,私は幸福です。
I happy,私は幸せだ。
I happy,私は幸せです。
I lucky,私はついている。
I picky,私は細かいんだ。
I ready,準備ができました。
I smart,俺って、頭いい！
I smart,私って冴えてる！
I sober,私は酔っていない。
I sorry,悪かった。
I sorry,どうも失礼。
I sorry,御免なさい。
I sorry,すみません。
I sorry,すみませんでした。
I sorry,すいません。
I sorry,すみませんね。
I tired,疲れているんだ。
I tired,疲れました。
I tired,疲れたよ。
I tired,疲れたなあ。
I tired,私は疲れた。
I tired,クタクタだよ。
I tired,疲れたー。
I tired,疲れたなぁ。
I tired,眠い。
I young,僕は若い。
Ignore it,無視しろ。
Is Tom OK,トムは大丈夫？
Is Tom in,トムいる？
Is he Tom,彼はトムですか？
Is it far,そこって遠いですか？
Is it hot,暑い？
Is it hot,熱い？
Is it hot,辛い？
Is it new,それって、新品なの？
It failed,それは失敗だった。
It stinks,超臭いよ。
It worked,動いた！
It worked,うまく行った！
It 230,2時半です。
It 330,３時半です。
It 745,７時４５分です。
It 915,９時１５分です。
It a TV,それはテレビだよ。
It cold,寒い。
It cold,寒っ！
It cool,カッコいい！
It easy,楽勝だよ。
It free,無料です。
It free,それは無料です。
It free,タダですよ。
It here,ここにあります。
It late,もう遅いわよ。
It mine,それ、私の。
It mine,それ、私のです。
It okay,大丈夫、大丈夫。
It true,本当ですよ。
It work,それが仕事です。
Jump down,飛び降りろ！
Keep away,離れてて。
Keep back,下がってて。
Keep warm,あったかくしてなさい。
Leave now,すぐ出発しなさい。
Let me go,私に行かせて。
Let me go,私に行かせてください。
Let me go,私に行かせて。
Let me in,中に入れてよ。
Let me in,中に入れて。
Let me in,私も参加させてください。
Let me in,私も入れてください。
Let me in,中に入れてください。
Let ask,聞いてみようよ。
Let eat,食べましょう。
Let see,えーとですね。
Let try,やってみようよ。
Listen up,よく聞きなさい。
Listen up,よく聞け！
Look back,後ろを見ろ。
May I eat,食べてもいいですか？
Of course,もちろんだよ！
Of course,もちろん！
Of course,もちろん。
Of course,もちろんだよ！
Of course,もちろんさ。
Of course,もちろん！
Of course,もちろん。
Open fire,撃て！
Pardon me,もう一度お願いします。
Pipe down,静かに！
Pipe down,静かにしなさい。
Pipe down,静かに！
Pipe down,静かにしなさい。
Read this,これを読みなさい。
Read this,これを読んで。
Search me,私は知らない。
See above,前述参照のこと。
See above,上記をご覧ください。
See below,下を見ろ。
Seriously,本当？
Seriously,本気？
She cried,彼女は泣いた。
She tried,彼女は試した。
She tried,彼女はやってみた。
Sign here,ここでサインして。
Sit there,そこにお座り。
Sit tight,ちゃんと座ってろ。
Sit tight,大人しく待ってなさい。
Slow down,スピードを落とせ！
Stay away,近づくな！
Stay away,どいてろ。
Stay calm,落ち着いて。
Stay calm,落ちついて。
Stay calm,静かにしてなさい。
Stay home,家にとどまりなさい。
Stay home,家にいなさい。
Stay thin,太らないように。
Step back,下がって。
Stop that,やめなさい。
Stop that,やめろ！
Stop that,やめなさい。
Stop that,やめろ！
Take care,用心しなさい。
Take care,気を付けてね。
Take care,お気をつけて。
Take care,気をつけて！
Take care,元気でね！
Take care,用心しなさい。
Take care,気を付けてね。
Take care,お体を大切に。
Take care,お気をつけて。
Take care,気をつけて！
Take mine,私のをどうぞ。
Take this,これ使って。
Take this,これにしなよ。
Thank you,ありがとうございます！
Thank you,すみません。
Thank you,お疲れさまでした。
Thank you,ありがとう。
Thank you,おおきに！
Thank you,ありがとうございます。
Thank you,どうもありがとうございます。
That OK,大丈夫ですよ。
That OK,それでいいよ。
That it,図星です。
That it,そういうこと。
Then what,じゃあ何？
They left,彼らは去った。
They lied,彼らは嘘をついた。
They lost,彼らは負けた。
They swam,彼らは泳いだ。
Time up,時間終了。
Tom bowed,トムは礼をした。
Tom bowed,トムはお辞儀をした。
Tom cooks,トムは料理する。
Tom cried,トムは涙を流した。
Tom cried,トムは泣いていた。
Tom drank,トムは飲んだ。
Tom drove,トムは運転した。
Tom knits,トムは編み物をする。
Tom knows,トムは知っている。
Tom moved,トムは動いた。
Tom moved,トムは引っ越した。
Tom slept,トムは寝ていた。
Tom slept,トムは眠っていた。
Tom spoke,トムは話した。
Tom stood,トムは立った。
Tom swims,トムは泳いでいる。
Tom tried,トムは挑戦した。
Tom tried,トムはやってみた。
Tom tries,トムは挑戦する。
Tom waved,トムは手を振った。
Tom waved,トムは手をふった。
Tom wait,トム、待って！
Try again,もう１度やってみなさい。
Try again,もう一度やってみて。
Try again,もう一回やってみて。
Turn left,左に曲がって。
Unlock it,鍵を開けろ。
Wait here,ここで待って。
Watch out,危ない！
Watch out,気をつけて！
We did it,成功だ！
We did it,やった。
We forgot,忘れた。
We talked,僕らは話した。
We waited,僕らは待った。
We win,勝てるさ。
We win,勝つよ。
We men,私たちは男です。
We shy,僕らは恥ずかしがり屋です。
Well done,お見事！
Well done,よくやった！
Well done,上出来！
Well done,お見事！
Well done,よくやった！
What up,変わりない？
What up,何が起こったんだ？
What up,なんでなんだよ。
Who cares,知るもんか。
Who is he,彼は誰？
Who is it,誰？
Who is it,どなた？
Who is it,どなたさまでしょうか。
Who knows,誰にも分からないよ。
Who knows,分からないよ。
Who go,誰が行くの？
Who Tom,トムって誰？
Who she,彼女は誰ですか。
Wonderful,すごいぞ！
Wonderful,素晴らしい！
Wonderful,すっげー！
Write Tom,トムに手紙を書きなよ。
You drive,君が運転して。
All aboard,皆さんお乗りください。
All aboard,ご乗車願います！
Am I clear,何言っているか分かる？
Am I clear,私の言ってること、わかります？
Am I fired,俺、クビですか？
Am I right,私、正しい？
Am I wrong,俺は間違っているのか。
Are you 18,１８歳ですか？
Are you OK,大丈夫ですか？
Are you OK,大丈夫？
Are you in,いる？
Are you up,起きてる？
Ask anyone,誰かに聞いてみて。
Ask around,周りの人に聞いてみて。
Be careful,気を付けてね。
Be careful,気をつけて！
Be careful,用心しなさい。
Be careful,気を付けてね。
Be careful,気をつけて！
Be on time,時間に遅れないで。
Be patient,辛抱しなさい。
Be serious,ふざけないで。
Be serious,真面目におやり。
Birds sing,鳥は歌います。
Birds sing,鳥が囀る。
Birds sing,鳥は鳴く。
Bottoms up,乾杯！
Can I help,手伝おうか。
Can I help,手伝おうか？
Carry this,これ運んで。
Check this,これ確認してみて。
Choose one,一つ選んで。
Come again,また来てね。
Come along,さあ、一緒に来いよ。
Come along,いっしょに来なさい。
Come along,私達と一緒に来なさい。
Come on in,入っておいでよ。
Come on in,さあ、入って入って。
Come on in,入っておいでよ。
Come on in,いらっしゃい。
Come quick,早く来い。
Come quick,早く来なさい。
Come quick,早くいらっしゃい。
Come quick,早くおいで。
Cut it out,やめなさい。
Cut it out,やめろ！
Cut it out,いい加減にしろよ。
Cut it out,いいかげんにして。
Deal me in,混ぜて。
Definitely,もちろんだよ！
Definitely,もちろん！
Did Tom go,トムは行った？
Did we win,勝った？
Do come in,さあどうぞお入りください。
Do come in,入って。
Do you ski,スキーは滑る？
Don come,来ないで。
Don look,見ないで。
Don move,動かないで！
Don move,じっとして！
Don move,動くな！
Don move,動かないで！
Don move,動かないで。
Don move,動くな。
Don push,押すなよ。
Don quit,やめちゃダメ。
Don talk,黙っていなさい。
Don talk,黙っていなさい。
Don wait,待つな。
Eat slowly,ゆっくり食べて。
Fill it up,満タンにしてください。
Find a job,仕事を見つけろ。
Fire burns,火は燃える。
Fix my toy,おもちゃ、直して。
Follow Tom,トムに従え。
Follow him,後をつけろ。
Forget him,彼の事は忘れなさい。
Forgive me,許して。
Forgive us,お許しを。
Get moving,さあ行った、行った。
Get to bed,ベッドへいけ。
Give it up,諦めろ。
Go on home,帰りなさい。
Go see Tom,トムに会ってきて。
Go to work,仕事に行きなさい。
Go wash up,洗ってきて。
God exists,神は存在する。
Good night,おやすみなさい。
He ate out,彼は外食した。
He gave in,彼は降参した。
He gave up,彼は降参した。
He hung up,彼は電話を切った。
He is a DJ,彼はＤＪです。
He is kind,優しい人です。
He is kind,いい人です。
He is kind,彼は親切な人です。
He is lazy,彼は尻が重い。
He is nice,彼はいい人です。
He is nice,いい人です。
He is sick,彼は病気です。
He laughed,彼は笑った。
He laughed,彼は笑っていた。
He made it,彼は成功した。
He broke,彼は一文なしだ。
He lying,彼はうそをついている。
He lying,彼は嘘をついている。
He smart,利口だね。
He smart,彼は頭がいい。
Heat it up,温めて。
Hello Tom,こんにちは、トム。
Hello Tom,こんにちはトムさん。
Help me up,上がるの手伝って。
Help me up,起き上がるの手伝って。
Help me up,立ち上がるの手伝って。
Here he is,あっ、来た来た。
Here it is,はいどうぞ。
Here it is,ほら、ここにあるよ。
Here we go,さあ、行くぞ。
Hey relax,落ちつきな。
Hold still,じっとしてて。
How clever,賢い！
How lovely,かわいい！
How tragic,悲惨！
How work,仕事はどう？
How work,どう、仕事は？
Hurry back,急いで戻れ。
Hurry home,早く家に帰って来なさい。
I admit it,それは認める。
I am a boy,僕、男だよ。
I am a man,俺は人間だ。
I am happy,私は幸福です。
I am happy,私は幸せだ。
I am happy,私は幸せです。
I am ready,私は覚悟ができている。
I am ready,準備ができました。
I broke it,私が壊した。
I built it,私が作ったんです。
I can jump,私、跳べるよ。
I can jump,僕、ジャンプできるよ。
I can read,私は読むことができます。
I can sing,歌える。
I can sing,歌が歌える。
I can stay,私は残れます。
I can swim,私は泳げます。
I can swim,私は泳ぐことが出来ます。
I can swim,私は泳げません。
I can wait,待てます。
I can wait,待ち遠しいよ。
I can wait,待ってられない。
I can walk,歩ける。
I can go,私は行かれません。
I can go,私は行けません。
I disagree,私はそうは思いません。
I disagree,そうは思いません。
I disagree,反対です。
I eat here,ここで食べます。
I eat here,私はここで食べます。
I eat here,ここで食べます。
I eat here,私はここで食べます。
I envy Tom,トムが羨ましいよ。
I envy her,あの子が羨ましい。
I envy her,羨ましい！
I envy him,羨ましい！
I envy you,いいなあ。
I envy you,羨ましい！
I feel bad,気分が悪い。
I feel old,私も年をとったなあ。
I feel old,歳を感じるわ。
I feel old,老いを感じる。
I feel sad,悲しい。
I fixed it,直しといたよ。
I fixed it,直しました。
I found it,見つかったよ。
I found it,見つけた！
I found it,見つかったよ。
I found it,見つけたよ。
I got busy,忙しくなった。
I got lost,道に迷ってしまいました。
I got sick,病気になった。
I hate Tom,私はトムが嫌いだ。
I have one,持っています。
I help him,彼を手伝ってます。
I hope not,そうでなきゃいいけど。
I know Tom,トムは知っている。
I know her,彼女を知っている。
I know him,彼のことは知ってますよ。
I left Tom,トムとは別れたわよ。
I like Tom,トムは好きだ。
I like Tom,トムの事は気に入っている。
I like him,彼が好きです。
I like pie,パイが好き。
I like pie,俺、パイが好きなんだよ。
I like tea,私はお茶が好きです。
I like tea,茶が好きです。
I like you,君のことが好きなんだ。
I like you,君が好きだ。
I liked it,気に入りました。
I liked it,それ、いいね。
I love her,彼女に恋している。
I love her,私は彼女に恋をしている。
I love her,彼女のことが好きだ。
I love her,彼女のことが大好きです。
I love you,愛してる。
I love you,大好きだよ！
I love you,君のことが好きなんだ。
I love you,君が好きだ。
I love you,あなたが好きです。
I love you,私はあなたを愛しています。
I miss Tom,トムが居たらと思う。
I miss you,会えなくて淋しい。
I miss you,君がいなくて寂しいよ。
I miss you,寂しくなります。
I must run,走ったほうがよさそうだ。
I need Tom,トムが必要だ。
I need Tom,私にはトムが必要です。
I need you,君が必要だ。
I need you,あなたが必要なんです。
I panicked,パニクったわ。
I promised,私は約束した。
I ran away,逃げたさ。
I stood up,僕は起きあがった。
I think so,私はそう思います。
I think so,そう思いますよ。
I think so,そう思います。
I think so,そうだと思う。
I think so,そう思う。
I want you,君が欲しい。
I was home,私は家にいた。
I was hurt,傷ついた。
I was lost,迷っていた。
I was poor,貧乏だったよ。
I was rude,私は無礼だった。
I was shot,撃たれたんです。
I was weak,私は弱かった。
I work out,私は運動する。
I work out,運動します。
I be OK,大丈夫です。
I do it,僕がやります。
